scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_kurtosis,scale3_mean,scale3_skewness,scale3_std,scale4_kurtosis,scale4_mean,scale4_skewness,scale4_std,scale5_mean,scale5_std,scale6_mean,signal_mean,label
1,0.166545436,2.40999127E-15,0.282764941,0.0830226988,0.329604954,4.28183837E-15,0.416517884,-0.100982614,0.587931335,0.299009144,0.637914658,-0.102292851,1,1,1,-0.146763086,0.722575903,0.203117892,0.685985923,0.317000329,0.263139516,0.0574096218,0.1015625,1
1,0.187741369,1.956039E-15,0.31543377,0.0830226988,0.371553153,3.53731631E-15,0.464639634,-0.104289196,0.718209326,0.0985722765,0.756890655,-0.101947017,1,0.274784476,1,-0.0605597273,0.761995614,1,0.824801743,0.394509465,0.294492871,0.0800311938,0.411956578,1
1,0.164295062,1.90804336E-15,0.27732408,0.0830226988,0.325151324,3.73116107E-15,0.408503413,-0.087498717,0.557637632,0.899588227,0.609461069,-0.105378807,1,1,1,-0.121636443,0.602359533,0.671798825,0.597783208,0.232825592,0.0824502334,0.597802818,0.1015625,1
1,0.170998752,1.87247284E-15,0.30128026,0.0830226988,0.338418365,3.38619441E-15,0.4437913,-0.087498717,0.580390751,0.811009586,0.662108362,-0.118633807,1,0.534432769,1,-0.0885495842,0.664315045,1,0.71715188,0.299874663,0.183594316,0.563379467,0.411956578,1
1,0.161859244,1.34212889E-15,0.280249864,0.0830226988,0.32033065,2.3845644E-15,0.412813157,-0.0406245738,0.679436684,1,0.759092331,-0.112588562,1,0.241917953,1,-0.141431391,0.554259837,0.604434729,0.539584816,0.336218268,0.381335437,0.00751530053,0.125,1
1,0.165534824,1.06651316E-15,0.287534386,0.0830226988,0.32760489,2.3545699E-15,0.423543334,-0.0406245738,0.694865644,1,0.778823316,-0.136412904,1,0.226690277,1,-0.101786241,0.562217832,0.438434839,0.564997852,0.398798853,0.41664964,0.116868526,0.395195395,1
1,0.170439482,1.71696427E-15,0.294163942,0.0830226988,0.337311536,3.79058848E-15,0.43330881,-0.100982614,0.601677954,0.268076211,0.663630664,-0.120721593,1,1,1,-0.103916377,0.667763412,0.459951431,0.678094625,0.351356596,0.36317265,0.609212518,0.395195395,1
1,0.166265741,2.63004874E-15,0.281185925,0.0830226988,0.329051405,5.14303582E-15,0.414191991,-0.104289196,0.636053801,0.144273356,0.674712181,-0.102971785,1,1,1,-0.143227249,0.563772202,0.457169116,0.561870873,0.264521867,0.234079182,0.670006394,0.125,1
1,0.164385989,4.09559224E-16,0.289523363,0.109010696,0.325819612,5.23879078E-16,0.423381776,-0.0786415115,0.61686039,0.026784284,0.669096768,-0.0884351656,1,0.277914941,1,-0.0335756019,0.931480587,1,0.814162135,0.134051278,0.107128128,0.155042157,0.0546875,1
1,0.158263266,5.95754165E-16,0.281672239,0.109010696,0.313684136,7.21655289E-16,0.411900729,-0.0902584642,0.581675529,0.0482380167,0.653163016,-0.0941227153,1,0.182450697,1,-0.0400418565,0.767821848,1,0.587365985,0.079793863,0.0726476386,0.111976191,0.47676295,1
1,0.156417206,7.01070906E-16,0.282778978,0.109010696,0.310025156,8.96760134E-16,0.413519204,-0.0680202395,0.557200789,0.306363732,0.640399694,-0.102814764,1,0.244728461,1,-0.0760505348,0.711663306,1,0.742275834,0.296080172,0.333058149,0.487855405,0.0546875,1
1,0.165896088,2.52971197E-15,0.287781566,0.109010696,0.328812689,3.11005363E-15,0.420834661,-0.0680202395,0.590967178,1,0.651728809,-0.0893321335,1,0.660144269,1,-0.0913106278,0.692162693,0.00304609188,0.673281252,0.269687057,0.294407248,0.349732965,0.47676295,1
1,0.155526116,8.34840755E-16,0.277646661,0.109010696,0.308258981,1.08455454E-15,0.406013995,-0.0211316682,0.6355142,1,0.726820409,-0.106985547,1,0.0249121301,1,-0.129032582,0.866679728,0.442375064,0.873131573,0.138869539,0.0211909637,0.00658299541,0.109375,1
1,0.151802346,9.16368206E-16,0.270659387,0.109010696,0.300878346,1.10124003E-15,0.39579621,-0.0211316682,0.620298088,1,0.708529174,-0.108682692,1,0.0436549708,1,-0.133366778,0.806473613,0.171487972,0.764423549,0.184016526,0.124300122,0.0860697404,0.406036317,1
1,0.1648072,1.21334685E-15,0.281852216,0.109010696,0.326654464,1.50231818E-15,0.412163943,-0.0786415115,0.618440986,0.0722906217,0.651368499,-0.093710646,1,0.295706958,1,-0.086545296,0.696792662,1,0.628606498,0.416334838,0.370133072,0.557486951,0.406036317,1
1,0.165381819,5.57507186E-16,0.293932736,0.109010696,0.32779339,7.35408722E-16,0.429829776,-0.0902584642,0.607838809,0.049902156,0.681593597,-0.089047946,1,0.0554118119,1,-0.0261063203,0.76797235,1,0.707148552,0.421703517,0.428940266,0.678797007,0.109375,1
